County,County Code,Year,Year Code,Births,Total Population,Birth Rate
"Washington County, MN",27163,2010,2010,2876,238136,12.08
"Washington County, MN",27163,2020,2020,2668,265476,10.05
"Wright County, MN",27171,2020,2020,1734,140249,12.36
"Unidentified Counties, MN",27999,2010,2010,27001,2180212,12.38
"Unidentified Counties, MN",27999,2020,2020,21006,1973015,10.65
"DeSoto County, MS",28033,2010,2010,2034,161252,12.61
"DeSoto County, MS",28033,2020,2020,2197,188275,11.67
"Harrison County, MS",28047,2010,2010,2758,187105,14.74
"Harrison County, MS",28047,2020,2020,2458,208801,11.77
"Hinds County, MS",28049,2010,2010,3536,245285,14.42
"Hinds County, MS",28049,2020,2020,2868,227966,12.58
"Jackson County, MS",28059,2010,2010,1707,139668,12.22
"Jackson County, MS",28059,2020,2020,1567,143802,10.9
"Rankin County, MS",28121,2010,2010,1953,141617,13.79
"Rankin County, MS",28121,2020,2020,1699,155975,10.89
"Unidentified Counties, MS",28999,2010,2010,28048,2092370,13.4
"Unidentified Counties, MS",28999,2020,2020,24684,2041967,12.09
"Boone County, MO",29019,2010,2010,2003,162642,12.32
"Boone County, MO",29019,2020,2020,1980,182991,10.82
"Clay County, MO",29047,2010,2010,3126,221939,14.08
"Clay County, MO",29047,2020,2020,2990,253463,11.8
"Franklin County, MO",29071,2020,2020,1101,104469,10.54
"Greene County, MO",29077,2010,2010,3537,275174,12.85
"Greene County, MO",29077,2020,2020,3242,294997,10.99
"Jackson County, MO",29095,2010,2010,9781,674158,14.51
"Jackson County, MO",29095,2020,2020,8776,705925,12.43
"Jasper County, MO",29097,2010,2010,1783,117404,15.19
"Jasper County, MO",29097,2020,2020,1519,121648,12.49
"Jefferson County, MO",29099,2010,2010,2749,218733,12.57
"Jefferson County, MO",29099,2020,2020,2385,226543,10.53
"St. Charles County, MO",29183,2010,2010,4593,360485,12.74
"St. Charles County, MO",29183,2020,2020,4073,406204,10.03
"St. Louis County, MO",29189,2010,2010,11682,998954,11.69
"St. Louis County, MO",29189,2020,2020,10584,994020,10.65
"St. Louis city, MO",29510,2010,2010,4812,319294,15.07
"St. Louis city, MO",29510,2020,2020,3791,297645,12.74
"Unidentified Counties, MO",29999,2010,2010,32693,2640144,12.38
"Unidentified Counties, MO",29999,2020,2020,28844,2563643,11.25
"Missoula County, MT",30063,2020,2020,1063,121630,8.74
"Yellowstone County, MT",30111,2010,2010,1947,147972,13.16
"Yellowstone County, MT",30111,2020,2020,1829,162990,11.22
"Unidentified Counties, MT",30999,2010,2010,10113,841443,12.02
"Unidentified Counties, MT",30999,2020,2020,7899,795957,9.92
"Douglas County, NE",31055,2010,2010,8205,517110,15.87
"Douglas County, NE",31055,2020,2020,7889,574332,13.74
"Lancaster County, NE",31109,2010,2010,4152,285407,14.55
"Lancaster County, NE",31109,2020,2020,3714,320650,11.58
"Sarpy County, NE",31153,2010,2010,2562,158840,16.13
"Sarpy County, NE",31153,2020,2020,2423,188856,12.83
"Unidentified Counties, NE",31999,2010,2010,10999,864984,12.72
"Unidentified Counties, NE",31999,2020,2020,10265,853714,12.02
"Clark County, NV",32003,2010,2010,26752,1951269,13.71
